"dam_date","dam_id","dam_inflow","dam_level","dam_released","dam_spilled","dam_storage"
"2018-07-05","44","0","137.6","0","0","899.96"
"2018-07-05","43","6.64","237.13","12.04","0","7401.33"
"2018-07-05","45","0.31","749.89","0.73","0","85.07"
"2018-07-05","46","0.01","275.86","0.61","0","42.62"
"2018-07-05","47","0","309.45","0.42","0","14.63"
"2018-07-05","49","25.66","84.87","7.77","0","3971.55"
"2018-07-05","52","16.65","142.52","12.19","0","5117.18"
"2018-07-05","53","0.03","384.34","0","0","121.21"
"2018-07-05","55","3.86","57.64","7.07","0","40.36"
"2018-07-05","56","13.61","144.18","13.03","0","5220.46"
"2018-07-05","57","4.06","90.65","0.45","0","368.21"
"2018-07-05","59","7.34","176.5","10.16","0","842.97"
"2018-07-05","50","3.22","105.48","10.15","0","985.44"
"2018-07-05","54","5.39","171.58","4.49","0","14430.01"
