"agency_id","avg_inflow","avg_inflow_intyear","dam_lat","dam_long","dam_name__en","dam_name__jp","dam_name__th","downstream_storage","emer_watergate_level","id","max_inflow","max_inflow_date","max_old_storage","max_storage","max_water_level","maxos_date","min_old_storage","min_storage","min_water_level","minos_date","normal_storage","normal_water_level","normal_watergate_level","power_install","power_intake_level","power_intake_storage","rainfall_yearly","ridge_spillway_level","service_watergate_level","tailrace_level","top_spillway_level","used_genpower","uses_water","water_shed"
"8","5667.29","1965","17.241944","98.975278","BHUMIBOL DAM"," ","ภูมิพล","1500","null","43","262.06","1973-07-22","260.14","13462","260","1975-11-02","213.62","3800","213","1992-07-08","13462","260","260","731.2","201","2499.27","963.89","242.9","null","139.85","260.3","4.57","9662","26386"
"8","1652.47","1972","15.202778","105.432222","SIRINDHORN DAM"," ","สิรินธร","570","null","44","191.05","1981-08-10","142.37","2082.61","144.5","1972-09-15","137.36","831.38","137.2","1992-06-07","1966.47","142.2","142.2","36","122.5","25.21","1972.57","130","null","108.9","145","19.91","1135.09","2097"
"8","159","1973","16.533333","101.652500","CHULABHORN DAM"," ","จุฬาภรณ์","null","null","45","67.37","1978-09-29","759.61","175.12","760","1978-09-29","741.23","37.22","739","1993-09-02","163.75","759","759","40","726","14.17","1384.96","753","null","367.5","759.5","1.58","105.1","545"
"8","135.84","1970","16.971667","103.947222","NAM PUNG DAM"," ","น้ำพุง","null","null","46","27.19","1991-08-18","285.13","198.96","285.5","1971-10-03","270.98","8.68","270","1969-05-31","165.48","284","284","6","265","0.8","1322.62","284","null","194.9","null","6.71","156.82","297"
"8","101.68","1982","16.413056","101.797222","HUAI KUM DAM"," ","ห้วยกุ่ม","null","314","47","300.29","1991-08-18","312.5","25.14","314.9","1987-10-04","295.5","1.51","298","1991-04-24","20.23","312","null","1.06","298","6.1","119.52","304.4","312","null","312.5","21.9","18.72","262"
"8","null","    ","15.282098","105.466051","PAK MUN DAM"," ","ปากมูล","null","null","48","null","null","null","null","null","null","null","null","null","null","229.6","108","null","null","null","null","null","null","null","null","null","null","null","null"
"8","2578.85","1986","8.966667","98.783333","RAJJAPRABHA DAM"," ","รัชชประภา","1100","null","49","161.62","1997-08-24","90.7","6144.38","97.65","1997-09-28","64.39","1351.54","62","1992-07-25","5638.84","95","95","240","53","721.17","1967.46","87.5","null","12","95.5","7.98","4200","1435"
"8","1554.57","1981","6.320278","101.275833","BANGLANG DAM"," ","บางลาง","800","null","50","151.28","1988-11-21","115.32","1589.83","117.5","1994-02-08","94.19","276.28","83","1990-09-24","1454.36","115","112.5","72","70","86.89","2009.88","94","null","43.7","108.5","6.79","1178.08","2080"
"8","null","    ","null","null","LOWER PING DAM"," ","เขื่อนแม่ปิงตอนล่าง","null","null","51","null","null","null","null","null","null","null","null","null","null","4.92","null","null","null","null","null","null","null","null","null","null","null","null","null"
"8","5624.45","1974","17.768056","100.554167","SIRIKIT DAM"," ","สิริกิติ์","1000","null","52","371.81","1981-07-07","162.5","10508.3","166","1975-09-26","128.85","2850","128","1992-07-09","9510","162","158","500","104","562.2","1138.55","150.5","null","76","162","6.49","6660","13130"
"8","341.62","1966","19.162500","99.043056","MAE NGAT DAM"," ","แม่งัด","null","398.2","53","29.52","1995-09-01","398.72","325","400","1989-10-17","362.22","21.6","340","1992-07-14","265","396.5","null","9","364.5","20.11","null","394","396","null","399","20.51","255","1280"
"8","4586.16","1980","14.400000","99.116667","SRINAGARIND DAM"," ","ศรีนครินทร์","1000","null","54","276.5","1991-08-20","178.89","18770.4","182.4","1988-11-26","148.26","10265","159","1980-05-20","17744.8","180","178.5","720","143.5","6390.69","982.75","171","null","55.5","180.5","3.9","7470","10880"
"8","3994.54","1982","14.216667","99.233333","THA THUNG NA DAM"," ","ท่าทุ่งนา","null","null","55","null","null","null","null","59.7","null","null","28.95","55.5","null","52.08","59.7","null","38","46.5","10.8","null","null","null","42.9","null","null","28.8","null"
"8","5482.3","1985","14.797500","98.601389","VAJIRALONGKORN DAM"," ","วชิราลงกรณ","900","null","56","451.77","1991-08-19","155.41","11000.4","160.5","1994-09-01","136.19","3012","135","1991-06-08","8860","155","155","300","120","962.54","1773.57","146","null","87","155.8","7.01","5848","3720"
"8","894.66","1975","12.915833","99.633333","KANG KRACHAN DAM"," ","แก่งกระจาน","null","null","57","98.9","1994-08-01","100.58","895.3","102.65","1974-08-09","78.55","67","75","1991-06-18","710","99","178.5","17.5","70","27","null","99","null","51","null","12.62","643","2210"
"8","null","    ","null","null","KIRIDHARN DAM"," ","คิรีธาร","null","null","58","6.58","2000-09-24","205.44","90","207","1994-08-06","199.18","19.92","197.8","1992-06-07","76","205","null","12.2","null","null","null","205","null","null","null","3.48","54.84","null"
"8","2427.71","1970","16.770278","102.620833","UBOLRATANA DAM"," ","อุบลรัตน์","400","null","59","547.25","1978-09-30","183.7","4640.43","186.6","1978-10-01","173.26","581.67","175","1982-08-31","2431.3","182","179.3","25.2","161.6","5.64","1109.77","171","null","163.5","178.3","39.87","1853.6","12000"
